geo_id,name_x,total_pop,pct_male,median_age,pct_hisp_latino,pce_white,pct_black,pct_american_ind,pct_asian,pct_hawaiian_pacisldr,pct_other_race,name_y,pct_unemployed,avg_wrk_commute_mins,median_hsld_income,per_cap_income,name_x,total_households,avg_household_size,avg_family_size,pop_in_households,pct_bach_degree,name_y,total_housing_units,occupied_housing_units,total_units_in_structure,units_built_after_2014,owner_occupied_units,renter_occupied_units
1400000US11001003900,"Census Tract 39, District of Columbia, District of Columbia",4585,49.2,36.5,10.4,70.4,10.4,0.0,6.6,0.0,0.4,"Census Tract 39, District of Columbia, District of Columbia",2.5,30.9,105250,74560,"Census Tract 39, District of Columbia, District of Columbia",2757,1.64,2.27,4524,85.2,"Census Tract 39, District of Columbia, District of Columbia",2953,2757,2953,88,1006,1751
1400000US11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",4884,57.8,33.9,12.7,76.2,6.6,0.0,2.1,0.7,0.0,"Census Tract 40.01, District of Columbia, District of Columbia",4.4,29.4,138804,94229,"Census Tract 40.01, District of Columbia, District of Columbia",2220,2.20,2.60,4884,90.5,"Census Tract 40.01, District of Columbia, District of Columbia",2386,2220,2386,0,1045,1175
1400000US11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",3048,48.9,35.2,6.8,82.1,3.9,0.0,5.9,0.0,0.4,"Census Tract 40.02, District of Columbia, District of Columbia",2.6,30.3,117045,87101,"Census Tract 40.02, District of Columbia, District of Columbia",1754,1.74,2.33,3048,94.4,"Census Tract 40.02, District of Columbia, District of Columbia",1990,1754,1990,11,769,985
1400000US11001004100,"Census Tract 41, District of Columbia, District of Columbia",2541,49.2,46.8,8.5,75.9,4.2,0.0,7.2,0.0,0.7,"Census Tract 41, District of Columbia, District of Columbia",2.3,24.6,156486,134011,"Census Tract 41, District of Columbia, District of Columbia",1398,1.81,2.44,2529,92.5,"Census Tract 41, District of Columbia, District of Columbia",1629,1398,1629,9,721,677
1400000US11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",3692,54.0,31.7,8.1,79.3,5.3,0.0,3.0,0.0,2.3,"Census Tract 42.01, District of Columbia, District of Columbia",1.7,27.2,123148,91108,"Census Tract 42.01, District of Columbia, District of Columbia",1998,1.85,2.72,3692,90.4,"Census Tract 42.01, District of Columbia, District of Columbia",2116,1998,2116,0,692,1306
1400000US11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",2404,51.5,34.1,14.7,75.2,0.8,0.3,5.7,0.0,0.2,"Census Tract 42.02, District of Columbia, District of Columbia",3.2,22.9,105742,108931,"Census Tract 42.02, District of Columbia, District of Columbia",1621,1.42,2.26,2305,92.6,"Census Tract 42.02, District of Columbia, District of Columbia",1826,1621,1826,0,576,1045
1400000US11001004300,"Census Tract 43, District of Columbia, District of Columbia",4076,48.7,35.2,13.5,59.7,19.7,0.6,3.7,0.0,0.0,"Census Tract 43, District of Columbia, District of Columbia",2.4,27.0,97688,77882,"Census Tract 43, District of Columbia, District of Columbia",2221,1.84,2.86,4076,78.3,"Census Tract 43, District of Columbia, District of Columbia",2349,2221,2349,119,844,1377
1400000US11001004400,"Census Tract 44, District of Columbia, District of Columbia",5742,52.5,33.7,7.0,58.2,25.1,0.0,6.0,0.0,0.9,"Census Tract 44, District of Columbia, District of Columbia",4.3,26.8,179932,109033,"Census Tract 44, District of Columbia, District of Columbia",2790,2.04,2.85,5700,85.8,"Census Tract 44, District of Columbia, District of Columbia",3049,2790,3049,276,1566,1224
1400000US11001004600,"Census Tract 46, District of Columbia, District of Columbia",3031,52.1,34.9,8.6,39.0,44.9,0.0,5.6,0.0,0.0,"Census Tract 46, District of Columbia, District of Columbia",4.2,27.5,112000,64913,"Census Tract 46, District of Columbia, District of Columbia",1428,2.10,3.39,3002,60.8,"Census Tract 46, District of Columbia, District of Columbia",1490,1428,1490,50,753,675
1400000US11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",4630,44.9,30.6,4.6,23.3,59.0,0.0,10.3,0.0,0.3,"Census Tract 47.01, District of Columbia, District of Columbia",7.1,26.6,48851,43736,"Census Tract 47.01, District of Columbia, District of Columbia",2482,1.86,3.13,4625,49.9,"Census Tract 47.01, District of Columbia, District of Columbia",2907,2482,2907,404,417,2065
